STATE_NAME,VOTES_BIDE,VOTES_TRUM,VOTES_OTHE,SENTIMENT_,SENTIMENT2,N__OF_MEN_,N__OF_WOME,EDUCATION,CH_UNEMP,COVID_19_D,REAL_MEDIA,POVERTY_PE,BLACK_OR_A,ASIAN_ALON,HISPANIC_O,FID,PROGRAM,STATE_CODE,FLOWING_ST,FID_1,LATITUDE,LONGITUDE,CPU
ALABAMA,0.37,0.62,0.01,-0.01,-0.09,0.48,0.52,0.08,1,152.8,61650,0.15,0.27,0.02,0.04,1,PERMIT TRACKING,AL,F,919,32.78,-86.83,
ALASKA,0.43,0.53,0.04,-0.14,-0.17,0.52,0.48,0.061,0.48,109.5,84260,0.1,0.04,0.07,0.07,2,,AK,N,920,64.07,-152.28,
ARIZONA,0.49,0.49,0.02,0,0,0.49,0.51,0.091,0.63,139.5,75620,0.13,0.05,0.04,0.32,3,AZURITE,AZ,F,921,34.27,-111.66,
ARKANSAS,0.35,0.62,0.03,-0.15,-0.14,0.49,0.52,0.087,0.77,127.7,57240,0.15,0.16,0.02,0.08,4,PDS,AR,F,922,34.89,-92.44,
CALIFORNIA,0.63,0.34,0.02,0,0,0.49,0.51,0.115,1.46,99.9,87530,0.12,0.07,0.15,0.39,5,,CA,N,923,37.18,-119.47,
COLORADO,0.55,0.42,0.03,0,-0.01,0.5,0.5,0.132,1.52,84.2,94440,0.09,0.05,0.04,0.22,6,ECOMAP,CO,F,924,39,-105.55,
CONNECTICUT,0.59,0.39,0.02,-0.01,-0.03,0.48,0.52,0.169,1.19,56.7,89540,0.1,0.12,0.05,0.17,7,SIMS,CT,F,925,41.62,-72.73,
DELAWARE,0.59,0.4,0.01,0.14,-0.32,0.48,0.52,0.097,1.08,83.2,78930,0.11,0.23,0.04,0.1,8,,DE,P,926,38.99,-75.51,
DISTRICT OF COLUMBIA,0.92,0.05,0.02,0,0,0.47,0.53,0.245,0.44,21.8,99440,0.15,0.46,0.04,0.11,9,,DC,P,927,38.91,-77.01,
FLORIDA,0.48,0.51,0.01,0,0,0.48,0.52,0.103,1.53,111.7,65110,0.12,0.17,0.03,0.26,10,,FL,P,928,28.63,-82.45,
